area,floorRange,typeOfSale,price,propertyType,typeOfArea,mktSegment,Year,region
159.3,Ground,Resale,2630000,Terrace,Land,RCR,2020,West
228.4,Ground,Resale,5188888,Semi-detached,Land,RCR,2024,West
201.0,01-05,Resale,3000000,Condominium,Strata,CCR,2024,Central
77.0,36-40,Sub Sale,1940000,Apartment,Strata,RCR,2024,Central
93.0,01-05,Resale,1500000,Apartment,Strata,RCR,2020,Central
40.0,06-10,Resale,930000,Apartment,Strata,RCR,2024,Central
518.5,Ground,Resale,7330000,Terrace,Land,OCR,2024,West
188.0,01-05,Resale,3250000,Condominium,Strata,CCR,2024,Central
107.0,01-05,Resale,1360000,Condominium,Strata,RCR,2019,West
149.0,16-20,Resale,2980000,Condominium,Strata,CCR,2024,Central
81.0,31-35,Resale,2070000,Apartment,Strata,RCR,2024,Central
697.8,Ground,Resale,10300000,Detached,Land,CCR,2021,Central
83.0,01-05,Resale,1600000,Apartment,Strata,RCR,2024,Central
42.0,41-45,Resale,990000,Apartment,Strata,CCR,2024,Central
179.4,Ground,Resale,4094000,Terrace,Land,RCR,2024,West
89.0,11-15,Sub Sale,1905000,Apartment,Strata,OCR,2024,West
99.0,11-15,Resale,1600000,Apartment,Strata,RCR,2024,Central
344.0,06-10,Resale,4800000,Condominium,Strata,RCR,2024,Central
201.9,Ground,Resale,3580000,Semi-detached,Land,RCR,2020,West
90.0,31-35,Resale,1620000,Apartment,Strata,CCR,2024,Central
122.0,26-30,Resale,2090000,Condominium,Strata,OCR,2024,West
328.8,Ground,Resale,4800000,Terrace,Land,OCR,2021,West
68.0,06-10,New Sale,2217800,Apartment,Strata,CCR,2023,Central
111.0,06-10,Resale,1960000,Condominium,Strata,RCR,2024,West
1106.8,Ground,Resale,19888800,Detached,Land,CCR,2019,Central
169.0,11-15,Resale,2908000,Condominium,Strata,OCR,2024,West
108.0,06-10,Resale,1650000,Condominium,Strata,RCR,2023,Central
119.0,01-05,Resale,1500000,Condominium,Strata,RCR,2020,West
360.1,Ground,Resale,6580000,Terrace,Land,CCR,2021,Central
457.0,Ground,Resale,4600000,Strata Terrace,Strata,RCR,2024,West
129.0,01-05,Resale,1530000,Apartment,Strata,RCR,2020,West
116.0,01-05,Resale,1370000,Apartment,Strata,RCR,2019,West
65.0,11-15,Resale,1380000,Condominium,Strata,RCR,2023,Central
122.0,06-10,Resale,1750000,Apartment,Strata,RCR,2023,Central
192.0,01-05,Resale,2650000,Condominium,Strata,RCR,2020,West
344.3,Ground,Resale,4850000,Semi-detached,Land,OCR,2021,West
780.5,Ground,Resale,22000000,Detached,Land,CCR,2023,Central
