area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,mktSegment
82,01-05,1,1122,3,1400000,Apartment,15,Strata,Freehold,RCR
152.4,-,1,0623,3,3100000,Terrace,05,Land,Freehold,OCR
536,-,1,0421,3,2700000,Strata Detached,14,Strata,Freehold,OCR
158,06-10,1,0323,3,3280000,Condominium,10,Strata,99 yrs lease commencing from 1991,CCR
410.2,-,1,0222,2,13680000,Detached,15,Land,Freehold,RCR
122,06-10,1,1222,3,2900000,Apartment,10,Strata,Freehold,CCR
112,01-05,1,0923,3,2130000,Condominium,13,Strata,Freehold,RCR
166,11-15,1,0723,3,3030000,Apartment,10,Strata,99 yrs lease commencing from 2006,CCR
119,01-05,1,0423,3,2340000,Apartment,11,Strata,Freehold,CCR
84,16-20,1,1023,3,1900000,Condominium,15,Strata,Freehold,RCR
130,01-05,1,0723,3,2710000,Condominium,15,Strata,Freehold,RCR
180,-,1,1221,3,3999999,Terrace,15,Land,Freehold,RCR
99,11-15,1,0424,3,2300000,Apartment,09,Strata,Freehold,CCR
155.1,-,1,0324,3,3999800,Terrace,19,Land,Freehold,OCR
119,06-10,1,0523,3,2900000,Apartment,09,Strata,Freehold,CCR
91,01-05,1,1023,3,1750000,Apartment,10,Strata,99 yrs lease commencing from 2013,CCR
301.2,-,1,0622,3,5200000,Terrace,05,Land,Freehold,RCR
203.1,-,1,0122,3,4800000,Terrace,19,Land,Freehold,OCR
119,01-05,1,1119,3,1560000,Apartment,10,Strata,Freehold,CCR
87,01-05,1,0323,3,1610000,Apartment,15,Strata,Freehold,OCR
408,-,1,0223,3,4500000,Semi-detached,14,Land,Freehold,OCR
115,06-10,1,0623,3,1688888,Apartment,12,Strata,Freehold,RCR
122,06-10,1,0922,3,2128000,Apartment,12,Strata,Freehold,RCR
42,01-05,1,0323,3,690000,Apartment,14,Strata,Freehold,RCR
877,-,1,0221,3,7700000,Strata Detached,11,Strata,Freehold,CCR
95,06-10,1,0524,1,2755760,Apartment,11,Strata,Freehold,CCR
97,01-05,1,0723,3,1290000,Condominium,17,Strata,Freehold,OCR
65,06-10,1,0523,3,1900000,Apartment,15,Strata,Freehold,RCR
71,01-05,1,0523,3,1210000,Apartment,15,Strata,Freehold,RCR
122,01-05,1,0722,3,1435000,Apartment,15,Strata,Freehold,RCR
36,01-05,1,0623,3,678000,Apartment,08,Strata,Freehold,RCR
281,01-05,1,1223,3,8400000,Condominium,04,Strata,99 yrs lease commencing from 2007,RCR
61,11-15,1,0724,3,1320000,Condominium,08,Strata,99 yrs lease commencing from 2015,RCR
351,-,1,0223,3,9300000,Semi-detached,10,Land,999 yrs lease commencing from 1875,CCR
100,11-15,1,1023,3,1400000,Executive Condominium,19,Strata,99 yrs lease commencing from 2013,OCR
348,-,1,0721,3,2650000,Strata Semi-detached,17,Strata,Freehold,OCR
159.8,-,1,0721,3,5128000,Terrace,09,Land,Freehold,CCR
76,01-05,1,0523,3,1035000,Apartment,19,Strata,Freehold,OCR
40,06-10,1,1123,2,1140000,Apartment,03,Strata,99 yrs lease commencing from 2019,RCR
348.3,-,1,0424,3,5400000,Semi-detached,13,Land,Freehold,RCR
183.9,-,1,1022,3,3680000,Terrace,10,Land,Freehold,CCR
176.5,-,1,1220,3,3280000,Terrace,20,Land,Freehold,OCR
42,01-05,1,0723,3,668000,Apartment,19,Strata,Freehold,OCR
173.6,-,1,0920,3,3100000,Terrace,20,Land,Freehold,RCR
113,06-10,1,1221,3,2180000,Apartment,10,Strata,Freehold,CCR
333.4,-,1,0123,3,7530000,Terrace,15,Land,Freehold,RCR
53,06-10,1,0424,3,788888,Apartment,12,Strata,Freehold,RCR
94,01-05,1,1022,3,1118000,Condominium,16,Strata,99 yrs lease commencing from 1995,OCR
136,01-05,1,0723,3,1880000,Apartment,15,Strata,Freehold,RCR
207,01-05,1,0523,3,2670000,Apartment,05,Strata,Freehold,RCR
240,-,1,1122,3,2750000,Strata Terrace,05,Strata,Freehold,OCR
217.5,-,1,1123,3,6680000,Terrace,11,Land,Freehold,CCR
52,01-05,1,0823,3,912000,Apartment,09,Strata,Freehold,CCR
131,06-10,1,1222,3,3080000,Condominium,10,Strata,Freehold,CCR
66,01-05,1,0323,1,1578000,Apartment,11,Strata,Freehold,CCR
98,11-15,1,0723,3,1576888,Condominium,19,Strata,99 yrs lease commencing from 2011,OCR
239.5,-,1,0721,3,10000000,Terrace,09,Land,Freehold,CCR
262.2,-,1,0621,3,3980000,Terrace,14,Land,Freehold,OCR
157.6,-,1,0821,3,3232000,Terrace,20,Land,Freehold,RCR
102,01-05,1,1021,3,1720000,Apartment,15,Strata,Freehold,RCR
220.4,-,1,0821,3,5520000,Terrace,11,Land,Freehold,CCR
106,01-05,1,1222,3,1280000,Apartment,14,Strata,Freehold,RCR
137,01-05,1,1020,3,1500000,Apartment,08,Strata,Freehold,RCR
137,11-15,1,0423,1,3171000,Apartment,20,Strata,99 yrs lease commencing from 2021,OCR
119,01-05,1,1122,3,1800000,Apartment,15,Strata,Freehold,RCR
190,01-05,1,0820,3,1560000,Apartment,14,Strata,Freehold,RCR
72,06-10,1,1223,3,915000,Condominium,14,Strata,Freehold,OCR
84,31-35,1,0923,3,1720000,Condominium,20,Strata,99 yrs lease commencing from 2007,OCR
259.2,-,1,1221,3,2000000,Terrace,15,Land,Freehold,OCR
2734.6,-,1,0721,3,65000000,Detached,10,Land,Freehold,CCR
35,16-20,1,1023,3,695000,Apartment,12,Strata,Freehold,RCR
120,01-05,1,0223,3,1600000,Apartment,15,Strata,Freehold,RCR
78,01-05,1,0122,1,1598850,Apartment,20,Strata,Freehold,OCR
586.2,-,1,0222,3,14500000,Detached,10,Land,Freehold,CCR
372,-,1,0122,3,3188000,Strata Detached,15,Strata,Freehold,OCR
93,01-05,1,0822,3,1230000,Apartment,14,Strata,Freehold,RCR
204.9,-,1,0621,3,4500000,Terrace,11,Land,Freehold,CCR
90,06-10,1,1022,3,1450000,Apartment,02,Strata,99 yrs lease commencing from 2004,RCR
296.6,-,1,0720,3,6000000,Terrace,02,Land,Freehold,RCR
130,01-05,1,1022,3,2300000,Apartment,11,Strata,Freehold,CCR
70,01-05,1,1023,3,1200000,Apartment,15,Strata,Freehold,OCR
295.6,-,1,0822,3,5260000,Terrace,13,Land,Freehold,OCR
223.6,-,1,0324,3,3580000,Semi-detached,17,Land,Freehold,OCR
32,06-10,1,0623,3,655000,Apartment,15,Strata,Freehold,RCR
144,01-05,1,0723,3,2500000,Condominium,13,Strata,Freehold,RCR
89,01-05,1,0422,3,1150000,Apartment,12,Strata,Freehold,RCR
187,-,1,0223,3,3550000,Terrace,15,Land,Freehold,RCR
110,11-15,1,0323,3,1650000,Apartment,12,Strata,Freehold,RCR
77,11-15,1,0623,3,1510000,Apartment,09,Strata,Freehold,CCR
57,26-30,1,0424,3,1320000,Apartment,11,Strata,Freehold,CCR
152,01-05,1,0623,3,2700000,Condominium,15,Strata,Freehold,OCR
160,01-05,1,0522,3,2575000,Condominium,15,Strata,Freehold,OCR
