iter	RMSE
0	3570002.216
1	3347370.364
2	3136693.046
3	2945557.042
4	2762283.362
5	2603960.929
6	2466478.675
7	2346195.652
8	2232546.092
9	2137750.084
10	2044941.902
11	1964992.65
12	1897726.984
13	1832482.899
14	1773556.806
15	1726883.971
16	1677007.604
17	1631864.429
18	1596981.404
19	1564912.278
20	1532247.081
21	1497852.783
22	1475308.093
23	1445865.559
24	1421043.804
25	1404637.638
26	1389255.696
27	1374146.447
28	1358112.972
29	1344990.609
30	1335603.272
31	1326760.359
32	1312647.863
33	1302735.456
34	1291462.592
35	1281438.047
36	1273605.362
37	1267215.771
38	1260169.265
39	1255948.879
40	1247690.988
41	1241695.112
42	1236589.637
43	1231829.738
44	1226356.67
45	1222840.89
46	1219397.562
47	1215408.616
48	1211707.348
49	1208609.094
50	1204512.784
51	1200652.781
52	1196488.449
53	1193649.242
54	1191634.819
55	1188295.743
56	1183655.586
57	1180887.19
58	1176838.717
59	1174319.578
60	1170364.717
61	1168059.134
62	1165223.77
63	1162211.979
64	1158384.16
65	1156909.754
66	1155303.529
67	1152689.366
68	1150017.029
69	1147952.839
70	1146038.356
71	1143024.371
72	1140451.938
73	1138360.451
74	1136784.181
75	1132611.109
76	1129596.327
77	1127514.614
78	1125257.371
79	1123944.401
80	1122485.991
81	1120424.729
82	1118820.488
83	1117806.344
84	1116843.926
85	1115936.405
86	1113271.948
87	1111968.336
88	1110460.188
89	1108074.131
90	1107067.014
91	1105506.676
92	1104278.054
93	1103491.081
94	1101547.51
95	1099496.554
96	1097393.037
97	1095606.791
98	1093705.28
99	1091654.051
