iter	Passed	Remaining
0	2	261
1	5	272
2	8	269
3	11	264
4	14	269
5	16	264
6	19	262
7	22	260
8	25	255
9	27	250
10	30	246
11	33	244
12	36	240
13	38	238
14	41	236
15	44	233
16	47	230
17	49	227
18	52	225
19	66	267
20	69	261
21	72	256
22	75	251
23	78	247
24	80	242
25	83	238
26	86	234
27	89	230
28	92	226
29	96	224
30	99	222
31	102	217
32	105	214
33	109	212
34	113	209
35	116	206
36	119	202
37	122	199
38	124	195
39	127	191
40	130	187
41	132	183
42	135	179
43	138	176
44	141	172
45	143	168
46	146	164
47	149	161
48	151	158
49	154	154
50	157	151
51	160	147
52	163	144
53	165	141
54	168	137
55	171	134
56	173	131
57	176	127
58	179	124
59	182	121
60	185	118
61	187	115
62	190	111
63	193	108
64	195	105
65	198	102
66	201	99
67	204	96
68	207	93
69	210	90
70	212	86
71	215	83
72	218	80
73	221	77
74	224	74
75	227	71
76	230	68
77	233	65
78	236	62
79	239	59
80	242	56
81	245	53
82	248	50
83	251	47
84	253	44
85	257	41
86	260	38
87	263	35
88	266	32
89	269	29
90	273	27
91	275	23
92	278	20
93	281	17
94	284	14
95	288	12
96	291	9
97	295	6
98	298	3
99	301	0
